COMM_NAME,COMM_CODE,COMM_WT,Index:2012-13,Index:2013-14,Index:2014-15,Index:2015-16,Index:2016-17,Index:2017-18,Index:2018-19,Index:2019-20,Index:2020-21,Index:2021-22,Index:2022-23
Tamarind,1101050010,0.00964,81.75,96.5,104.9,110.7,131.1,170.75,171.05,165.6,162.15,142.60000000000002,135.0
f.  OTHER FOOD ARTICLES,1101060000,0.94799,107.0,117.3,126.05,141.10000000000002,148.8,143.75,144.75,149.9,164.5,172.05,178.1
Tea,1101060001,0.12359,133.85000000000002,125.4,116.9,129.35000000000002,136.8,134.25,140.2,153.39999999999998,178.8,163.0,167.6
Coffee,1101060002,0.09879,92.9,97.6,110.25,102.75,99.95,95.9,95.3,99.80000000000001,105.5,134.5,151.5
Betel Leaves,1101060003,0.14419,97.30000000000001,117.85,112.6,113.15,124.5,83.1,82.75,82.05,85.9,92.55,96.7
Sugarcane,1101060004,0.58142,106.1,118.85,134.05,157.05,165.65,168.95,169.5,174.5,190.95,200.10000000000002,205.0
(B).  NON-FOOD ARTICLES,1102000000,4.11894,115.9,117.30000000000001,115.9,119.75,121.15,121.0,125.15,128.5,140.3,165.1,172.1
a.  FIBRES,1102010000,0.83931,104.45,111.1,100.05,105.4,118.25,122.35,127.95,123.25,131.7,181.55,203.0
Raw Cotton,1102010001,0.66334,99.95,105.44999999999999,92.19999999999999,95.0,107.94999999999999,111.0,117.25,109.95,116.44999999999999,169.3,195.9
Raw Jute,1102010002,0.05453,114.55,124.95,146.8,198.75,187.45,166.55,190.15,210.89999999999998,258.15,283.15,270.7
Mesta,1102010003,0.00225,111.44999999999999,120.75,131.8,156.3,139.6,122.4,128.85,135.8,166.4,194.3,203.6
Raw Wool,1102010004,0.02629,100.0,99.9,102.9,122.69999999999999,133.2,163.5,199.95,207.3,207.3,207.3,207.3
Raw Silk,1102010005,0.07735,135.5,150.35,126.95,118.55,152.95,175.1,152.7,146.95,148.85,218.95,233.2
Coir Fibre,1102010006,0.01555,114.69999999999999,127.10000000000001,127.3,119.5,115.19999999999999,117.85,121.8,119.1,123.25,118.4,114.6
b.  OIL SEEDS,1102020000,1.1153,126.0,127.39999999999999,132.25,136.7,132.0,134.10000000000002,144.95,153.60000000000002,183.0,212.25,205.2
Groundnut Seed,1102020001,0.26876,117.5,106.05000000000001,115.7,131.95,132.89999999999998,119.05,128.05,146.25,158.95,168.55,179.8
Rape & Mustard Seed,1102020002,0.24914,126.5,119.9,132.65,147.45,142.4,137.45,142.64999999999998,151.14999999999998,182.3,208.25,198.8
Cotton Seed,1102020003,0.01106,111.75,117.25,122.15,147.05,154.1,141.45,143.8,152.7,164.85000000000002,182.14999999999998,183.1
Copra (Coconut),1102020004,0.0731,86.25,124.15,151.4,119.55,134.6,195.7,202.3,188.3,202.7,200.3,181.9
Gingelly Seed (Sesamum),1102020005,0.01201,149.10000000000002,146.95,124.39999999999999,113.55,118.15,130.1,159.95,180.39999999999998,181.10000000000002,183.89999999999998,191.2
Linseed,1102020006,0.0064,126.7,126.5,129.2,145.95,163.89999999999998,150.6,151.75,165.1,186.89999999999998,232.35,234.4
Castor Seed,1102020007,0.09763,83.7,89.65,93.1,85.55,93.25,104.19999999999999,116.1,108.2,110.75,130.75,136.0
Niger Seed,1102020008,0.00234,117.6,117.9,162.75,220.3,205.7,178.2,155.3,175.45,213.85,246.85,243.5
Safflower (Kardi Seed),1102020009,0.00221,114.75,108.2,101.2,109.65,121.95,137.8,161.75,175.85000000000002,173.2,203.65,206.1
Sunflower,1102020010,0.01659,113.35,112.0,110.35,114.25,106.55,103.5,117.2,120.5,148.85,178.05,175.6
Soyabean,1102020011,0.37606,150.9,158.6,151.8,150.55,134.10000000000002,139.0,155.35,165.6,217.35000000000002,272.45000000000005,251.6
c.  OTHER NON-FOOD ARTICLES,1102030000,1.96043,114.55,111.8,110.55000000000001,113.8,113.95,109.7,105.65,105.75,113.25,124.10000000000001,131.2
Hides (Raw),1102030001,0.03062,105.05,108.35,108.5,106.1,98.35,106.0,112.4,111.4,105.1,102.6,102.8
Skins (Raw),1102030002,0.0229,97.85,105.9,110.75,112.95,114.0,109.65,102.55000000000001,98.75,95.25,91.15,91.8
Tanning Materials,1102030003,0.00418,100.0,100.0,100.0,100.0,94.25,72.7,69.75,73.3,73.3,73.3,73.3
Tobacco,1102030004,0.09374,103.3,109.35,113.4,113.6,113.6,113.75,113.75,113.6,113.6,113.6,113.6
Gaur Seed,1102030005,0.10347,172.7,123.89999999999999,102.05,81.6,80.05000000000001,92.4,96.4,90.1,98.0,124.69999999999999,127.2
Raw Rubber,1102030006,0.28851,82.94999999999999,72.4,59.95,56.35,64.94999999999999,61.4,62.2,64.44999999999999,74.4,80.55,75.5
Industrial wood,1102030007,0.88561,113.9,104.5,102.65,106.5,106.5,108.5,100.4,92.85,95.5,97.85,98.7
Fodder,1102030008,0.5314,124.85000000000001,143.85,152.45,164.10000000000002,160.64999999999998,141.15,138.39999999999998,151.55,168.2,196.1,223.4
d.   FLORICULTURE,1102040000,0.2039,121.25,140.9,142.8,143.2,142.55,152.14999999999998,193.3,232.4,201.95,234.5,257.4
Rose,1102040001,0.14264,125.3,145.2,148.6,148.2,141.8,154.7,200.55,225.8,189.85000000000002,224.7,252.6
Jasmine,1102040002,0.03063,110.35,130.7,126.44999999999999,132.75,150.5,157.7,216.05,375.70000000000005,349.3,392.85,410.3
Marigold,1102040003,0.03063,113.25,130.85000000000002,132.0,130.7,138.14999999999998,134.65,137.1,120.1,111.05,121.75,127.0
(C).  MINERALS,1103000000,0.83317,117.2,116.85,113.05,108.3,116.15,127.85,143.4,156.5,175.5,201.89999999999998,203.5
a.  METALLIC MINERALS,1103010000,0.64818,109.85,109.45,103.5,93.75,102.15,114.25,132.75,149.45,170.55,195.75,191.7
Bauxite,1103010001,0.00842,125.65,145.55,160.65,178.60000000000002,204.45,243.1,255.14999999999998,250.35000000000002,230.1,208.45,201.1
Chromite,1103010002,0.02645,85.9,75.05000000000001,75.0,73.19999999999999,81.15,77.35,75.19999999999999,73.30000000000001,96.75,117.8,112.8
Zinc Concentrate,1103010003,0.02752,114.55,139.35000000000002,166.3,162.15,167.7,188.0,203.2,204.4,216.8,276.75,293.3
Manganese Ore,1103010004,0.03955,121.1,124.15,108.3,90.65,136.45,150.55,147.10000000000002,128.95,138.15,151.7,153.3
Iron Ore,1103010005,0.20862,97.05000000000001,91.80000000000001,78.5,51.9,59.15,82.4,89.3,91.05,128.75,138.2,115.2
Copper Concentrate,1103010006,0.33393,117.65,117.9,113.6,113.4,117.95,122.80000000000001,153.25,186.85,200.6,235.5,240.9
Lead Concentrate,1103010007,0.00369,111.1,131.6,158.64999999999998,155.45,157.2,178.7,192.35000000000002,194.65,205.14999999999998,248.95,252.8
b.  OTHER MINERALS,1103020000,0.18499,142.95,142.85000000000002,146.35,159.2,165.25,175.45,180.65,181.05,192.95,223.45,245.2
Phosphorite,1103020001,0.11352,146.85,138.5,140.35000000000002,151.65,143.25,138.7,145.85,156.55,174.75,220.1,254.1
Limestone,1103020002,0.06947,137.89999999999998,151.25,157.14999999999998,172.5,201.45,234.95,236.15,219.45,220.95,227.55,229.8
Garnet,1103020003,0.00139,101.35,109.9,129.35000000000002,141.6,180.0,239.8,284.25,287.7,303.1,338.6,337.3
Sillimanite,1103020004,0.00061,84.4,82.1,82.1,83.5,85.85,89.3,113.35,127.6,127.44999999999999,127.25,127.3
(D). CRUDE PETROLEUM & NATURAL GAS,1104000000,2.4096,113.0,116.25,91.9,73.6,72.5,81.85,90.05000000000001,77.0,84.30000000000001,132.5,158.4
Crude Petroleum,1104000001,1.94537,111.75,113.1,79.75,59.849999999999994,63.9,74.2,80.44999999999999,65.65,79.3,128.7,143.3
Natural Gas,1104000002,0.46423,118.4,129.45,142.9,131.2,108.69999999999999,113.80000000000001,130.2,124.6,105.25,148.25,221.9
II FUEL & POWER,1200000000,13.1519,109.65,114.65,98.9,84.35,89.25,98.35,102.9,97.75,105.05,139.89999999999998,159.5
(A). COAL,1201000000,2.13813,102.94999999999999,105.75,106.65,106.6,113.0,120.80000000000001,123.9,125.9,127.3,130.65,133.3
a. Coking Coal,1201010000,0.64703,100.4,101.30000000000001,101.4,101.4,120.75,133.2,134.5,139.95,142.2,143.2,143.4
Coking Coal,1201010001,0.64703,100.4,101.30000000000001,101.4,101.4,120.75,133.2,134.5,139.95,142.2,143.2,143.4
b. Non-Coking Coal,1201020000,1.40097,104.30000000000001,108.19999999999999,109.6,109.9,110.6,115.65,119.0,119.05,119.55,119.8,119.8
a.) Non-Coking Coal G1 to G6 [GCV exceeding 5500 Kcal/kg.],1201020001,0.4999,104.65,103.0,103.0,98.8,89.75,87.9,87.6,87.6,87.75,87.8,87.8
b.) Non-Coking Coal G7 to G14 [GCV 3100 Kcal/kg. to 5500 Kcal/kg.],1201020002,0.88904,104.1,111.1,113.3,116.05,122.0,131.2,136.7,136.75,137.45,137.8,137.8
c.) Non-Coking Coal G15 to G17 [GCV < 3100 Kcal/kg.],1201020003,0.01203,105.65,113.1,115.4,119.2,127.4,125.25,123.1,123.19999999999999,124.5,125.2,125.2
c. Lignite,1201030000,0.09013,98.9,99.2,97.80000000000001,92.6,94.4,111.4,123.35,130.1,140.4,208.6,271.1
Lignite,1201030001,0.09013,98.9,99.2,97.80000000000001,92.6,94.4,111.4,123.35,130.1,140.4,208.6,271.1
(B). MINERAL OILS,1202000000,7.94968,114.6,121.0,94.05000000000001,70.6,77.19999999999999,89.3,94.6,85.19999999999999,96.5,147.2,172.9
LPG,1202000001,0.64481,110.19999999999999,117.9,91.0,73.35,76.55,87.80000000000001,87.1,82.75,96.0,125.0,130.9
Petrol,1202000002,1.6047,118.55000000000001,123.35,94.0,71.2,76.1,84.5,86.9,79.9,92.7,141.4,164.1
Kerosene,1202000003,0.18685,107.75,108.85,97.4,88.05000000000001,103.15,131.8,159.7,147.8,155.25,300.3,402.6
ATF,1202000004,0.31991,114.69999999999999,118.30000000000001,90.3,66.5,72.5,90.4,99.9,81.2,80.65,146.15,188.5
HSD,1202000005,3.09548,116.94999999999999,126.5,97.9,70.1,78.7,90.25,95.75,86.55000000000001,97.45,155.85,191.4
Naphtha,1202000006,0.86678,113.0,118.15,87.1,63.85,69.6,84.15,87.1,73.15,84.05,126.19999999999999,135.9
Bitumen,1202000007,0.22677,105.3,112.25,95.25,70.9,69.2,78.15,84.05,78.1,92.05000000000001,122.30000000000001,131.4
Furnace Oil,1202000008,0.66576,108.45,108.25,77.85,52.0,62.7,80.35,89.80000000000001,72.9,83.4,119.05000000000001,127.2
Lube Oils,1202000009,0.29199,111.3,115.9,119.69999999999999,119.55,115.25,117.65,128.0,132.85,147.5,168.35,180.0
Petroleum Coke,1202000010,0.04663,96.7,93.94999999999999,90.0,80.9,101.75,130.9,143.95,124.35,166.3,252.5,293.6
(C). ELECTRICITY,1203000000,3.06409,101.45,104.35,106.0,104.5,104.0,106.2,109.8,110.8,111.65,127.5,143.3
Electricity,1203000001,3.06409,101.45,104.35,106.0,104.5,104.0,106.2,109.8,110.8,111.65,127.5,143.3
III   MANUFACTURED PRODUCTS,1300000000,64.23054,106.35,109.85,110.45,109.5,111.80000000000001,115.5,118.0,118.94999999999999,126.6,138.55,142.6
(A). MANUFACTURE OF FOOD PRODUCTS,1301000000,9.12173,110.6,115.35,115.05000000000001,118.5,126.5,127.85000000000001,130.14999999999998,136.4,147.95,161.5,165.3
a. Processing and preserving of meat,1301010000,0.13405,116.44999999999999,126.9,132.45,134.3,135.95,135.65,136.89999999999998,136.95,139.64999999999998,143.05,143.7
"Buffalo meat, fresh/frozen",1301010001,0.07438,117.9,127.6,132.55,133.85,134.9,133.35000000000002,133.2,132.2,135.15,137.5,138.5
"Meat of goat, fresh or chilled",1301010002,0.02943,114.7,129.0,136.45,138.39999999999998,137.8,137.8,137.8,137.8,137.8,136.05,132.7
"Other meats, preserved/processed",1301010003,0.01934,113.65,121.85,128.75,131.8,137.8,142.8,151.85,153.7,152.5,162.64999999999998,171.8
"Chicken/duck, dressed - fresh/frozen",1301010004,0.0109,115.8,125.25,127.4,131.2,134.95,132.9,133.2,137.4,152.5,164.7,158.8
"b. Processing and preserving of fish, crustaceans and molluscs and products thereof",1301020000,0.20396,108.05000000000001,123.9,123.85,124.85,128.3,129.2,133.75,136.6,141.25,144.89999999999998,144.9
Shrimps/Prawns - Processed/Frozen,1301020001,0.06329,109.25,138.6,125.5,119.8,123.15,121.6,118.94999999999999,120.4,121.2,122.1,123.2
Fish frozen/canned/processed,1301020002,0.14067,107.5,117.25,123.05,127.19999999999999,130.60000000000002,132.55,140.39999999999998,143.9,150.3,155.14999999999998,154.7
